symbol,name,currency,summary,category_group,category,family,exchange,mic
ABFW.AS,ASN Duurzaam Mixfonds,EUR,"ASN Duurzaam Mixfonds is a Dutch sustainable investment fund. The fund invests in a mix of asset classes, including equities and bonds, selected based on environmental, social, and governance (ESG) criteria. It is headquartered in the Netherlands.",Equities,Blend,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ADIAE.AS,Actiam Duurzaam Index Aandelenfonds Europa,EUR,Actiam Duurzaam Index Aandelenfonds Europa is a fund that invests in European equities with a focus on sustainability. The fund aims to replicate the performance of a sustainable equity index. Actiam is a Netherlands-based asset manager.,Equities,Developed Markets,,AMS,XAMS
ADIAN.AS,Actiam Duurzaam Index Aandelenfonds Noord-Amerika,EUR,Actiam Duurzaam Index Aandelenfonds Noord-Amerika is a fund focused on sustainable investments in North American equities. Its goal is to mirror the returns of a sustainable North American equity index. Actiam manages the fund from the Netherlands.,Equities,Developed Markets,,AMS,XAMS
ADIAO.AS,Actiam Duurzaam Index Aandelenfonds Opkomende Landen,EUR,"Actiam Duurzaam Index Aandelenfonds Opkomende Landen invests in equities of emerging market countries with a focus on sustainable companies. The fund aims to track the performance of a sustainable emerging market equity index. Actiam, based in the Netherlands, manages this fund.",Equities,Emerging Markets,,AMS,XAMS
ADIAP.AS,Actiam Duurzaam Index Aandelenfonds Pacific,EUR,Actiam Duurzaam Index Aandelenfonds Pacific invests in equities of Pacific region countries with a focus on sustainable business practices. The fund aims to replicate the returns of a sustainable Pacific equity index. This fund is offered by Actiam.,Equities,Developed Markets,,AMS,XAMS
AGHY.AS,AEAM Global High Yield Fund (EUR),EUR,"AEAM Global High Yield Fund (EUR) aims to provide investors with high current income by investing primarily in euro-denominated high-yield corporate bonds. The fund is managed by AEAM and denominated in EUR. Further details regarding its investment strategy, holdings, and risk factors are available in the fund's prospectus.",Fixed Income,High Yield Bonds,Aegon Asset Management,AMS,XAMS
ARCPF.AS,Arcona Property Fund N.V.,EUR,"Arcona Property Fund N.V. is a real estate investment company based in the Netherlands, focusing on commercial properties in Germany. The company acquires, develops, and manages properties to generate rental income and capital appreciation for its investors. Arcona Property Fund aims to provide stable returns through its diversified property portfolio.",Real Estate,Commercial Real Estate,Arcona Property Fund,AMS,XAMS
ASN.AS,ASN Duurzaam Aandelenfonds Inc,EUR,"ASN Duurzaam Aandelenfonds Inc is a sustainable equity fund managed by ASN Investment Funds in the Netherlands. The fund invests in companies that meet strict sustainability criteria, focusing on environmental, social, and governance (ESG) factors. ASN Duurzaam Aandelenfonds aims to generate long-term capital appreciation while promoting sustainable business practices.",Equities,Equities,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ASN5.AS,ASN Duurzaam Small &amp; Midcap Fonds,EUR,"ASN Duurzaam Small & Midcap Fonds is a Dutch sustainable investment fund managed by ASN Investment Funds. It focuses on investing in small and mid-sized companies that meet stringent environmental, social, and governance (ESG) criteria. The fund's objective is to generate long-term financial returns while contributing to a more sustainable economy.",Equities,Small Cap,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ASND.AS,ASN Duurzaam Mixfonds Defensief,EUR,"ASN Duurzaam Mixfonds Defensief is a Dutch sustainable mixed fund managed by ASN Investment Funds, designed with a defensive investment strategy. The fund invests in a mix of asset classes, including equities and bonds, that align with environmental, social, and governance (ESG) principles. ASN Duurzaam Mixfonds Defensief aims to provide stable returns with lower risk compared to pure equity funds, while supporting sustainable investments.",Fixed Income,Bonds,ASN Beleggingsinstellingen Beheer,AMS,XAMS
