symbol,name,currency,summary,category_group,category,family,exchange,mic
8AECQ.MI,8a+ Eiger Q,EUR,"8a+ Eiger Q is a fund, based in Italy. The fund's specific investment strategy (Eiger Q) would require further research. The investment strategy of this fund would be expected to generate returns.",Equities,Alternative,8a+ Investimenti,MIL,XMIL
8AGCQ.MI,8a+ Gran Paradiso Q,EUR,"8a+ Gran Paradiso Q is a fund, based in Italy. The fund's specific investment strategy (Gran Paradiso Q) would require further research. The investment strategy of this fund would be expected to generate returns.",Alternative,Alternative,8a+ Investimenti,MIL,XMIL
8ALCQ.MI,8a+ Latemar Q,EUR,"8a+ Latemar Q is a fund, based in Italy. The fund's specific investment strategy (Latemar Q) would require further research. The investment strategy of this fund would be expected to generate returns.",Equities,Alternative,8a+ Investimenti,MIL,XMIL
AARM01.MI,Alessia - Absolute Return Macro Class Q,EUR,"Alessia - Absolute Return Macro Class Q is a hedge fund that employs a macro strategy, seeking to generate absolute returns regardless of market conditions. The fund trades in various asset classes, including currencies, commodities, and fixed income, based on macroeconomic trends. The Class Q shares have a specific fee structure or target institutional investors.",Alternatives,Alternative,Pure Capital SA,MIL,XMIL
ACAAGG.MI,AcomeA Patrimonio Aggressivo Q2,EUR,AcomeA Patrimonio Aggressivo Q2 is an aggressive asset allocation fund. It invests in a diversified portfolio of assets with a higher risk profile seeking to maximize capital appreciation. This fund utilizes AcomeA SGR's investment management strategies.,Financials,Blend,AcomeA SGR SpA,MIL,XMIL
ACAAME.MI,AcomeA America Q2,EUR,"AcomeA America Q2 is a fund, based in Italy, focused on investments in the American (North and South) markets. The investment strategy of this fund would be expected to generate returns in those markets. Further research is needed on the specific focus.",Equities,Developed Markets,AcomeA SGR SpA,MIL,XMIL
ACAAPA.MI,AcomeA Asia Pacifico Q2,EUR,"AcomeA Asia Pacifico Q2 is a fund, based in Italy, focused on investments in the Asia Pacific markets. The investment strategy of this fund would be expected to generate returns in those markets. Further research is needed on the specific focus.",Equities,Emerging Markets,AcomeA SGR SpA,MIL,XMIL
ACABRT.MI,AcomeA Breve Termine Q2,EUR,"AcomeA Breve Termine Q2 is a short-term bond fund, based in Italy. It invests in fixed-income securities with relatively short maturities. The fund's goal is to provide a stable return with low volatility.",Fixed Income,Bonds,AcomeA SGR SpA,MIL,XMIL
ACADIN.MI,AcomeA Patrimonio Dinamico Q2,EUR,"AcomeA Patrimonio Dinamico Q2 is a fund, based in Italy, using a dynamic asset allocation investment strategy. The fund uses this strategy to achieve its return objectives. Further research is needed on the specific focus.",Financials,Blend,AcomeA SGR SpA,MIL,XMIL
ACAESE.MI,AcomeA Patrimonio Esente Q2,EUR,"AcomeA Patrimonio Esente Q2 is a tax-exempt fund, based in Italy. It is structured to minimize or eliminate tax liabilities for its investors. The fund's specific investment strategy would need further research.",Financials,Municipal Bonds,AcomeA SGR SpA,MIL,XMIL
ACAEUO.MI,AcomeA Eurobbligazionario Q2,EUR,"AcomeA Eurobbligazionario Q2 is a fund, based in Italy, that invests in Euro-denominated bonds. The fund will aim to provide a stream of income to investors through these investments. Further research is needed on the specific focus.",Fixed Income,Bonds,AcomeA SGR SpA,MIL,XMIL
ACAEUP.MI,AcomeA Europa Q2,EUR,"AcomeA Europa Q2 is a fund, based in Italy, focused on investments in the European markets. The investment strategy of this fund would be expected to generate returns in those markets. Further research is needed on the specific focus.",Equities,Developed Markets,AcomeA SGR SpA,MIL,XMIL
ACAGLO.MI,AcomeA Globale Q2,EUR,"AcomeA Globale Q2 is a fund, based in Italy, that invests globally across different markets. The fund will aim to provide diversification and returns across the globe. Further research is needed on the specific focus.",Equities,Blend,AcomeA SGR SpA,MIL,XMIL
