symbol,name,currency,summary,category_group,category,family,exchange,mic
0P0000VC99.SZ,Shenyin Wanguo RMB Mainland Investment Fund A,CNY,"Shenyin Wanguo RMB Mainland Investment Fund A is a Chinese investment fund managed by Shenyin Wanguo Asset Management, focusing on investments in mainland China and denominated in Renminbi (RMB). The fund aims to generate capital appreciation by investing in a portfolio of Chinese equities and other RMB-denominated assets. The ""A"" refers to a specific share class with particular fee structures and eligibility requirements.",Equities,Emerging Markets,Shenwan Hongyuan Asset Management (Asia) Limited,SHZ,XSHE
0P0000VC9A.SZ,Shenyin Wanguo RMB Mainland Investment Fund I,CNY,"Shenyin Wanguo RMB Mainland Investment Fund I is a Chinese investment fund managed by Shenyin Wanguo Asset Management, focusing on investments in mainland China and denominated in Renminbi (RMB). The fund aims to generate capital appreciation by investing in a portfolio of Chinese equities and other RMB-denominated assets. The ""I"" refers to a specific share class, potentially for institutional investors, with different fee structures and eligibility requirements than the ""A"" share class.",Equities,Emerging Markets,Shenwan Hongyuan Asset Management (Asia) Limited,SHZ,XSHE
0P0000VG2R.SZ,CMS China Opportunities Flexifund A,CNY,"CMS China Opportunities Flexifund A is a fund investing in Chinese equities with a flexible investment approach. CMS Asset Management manages the fund, aiming to capitalize on opportunities in the Chinese market. The ""A"" designates a specific share class within the fund with potentially unique fee structures or accessibility.",Equities,Equities,"CMS Asset Management (HK) Co., Ltd",SHZ,XSHE
0P0000VQZ8.SZ,BOCHK RMB Fixed Income Fund A,CNY,"BOCHK RMB Fixed Income Fund A is a fund managed by Bank of China Hong Kong (BOCHK) Asset Management focusing on fixed income assets denominated in Renminbi (RMB). The fund invests in a portfolio of RMB-denominated bonds and other fixed-income instruments. The ""A"" denotes a specific share class.",Fixed Income,Bonds,BOCI Asset Management,SHZ,XSHE
0P0000VVV7.SZ,CMS China Opportunities Flexifund B,CNY,"CMS China Opportunities Flexifund B is a fund that invests in Chinese equities, managed by CMS Asset Management. The fund aims to capture growth opportunities in the Chinese market. The ""Flexifund"" indicates that it has the flexibility to invest across different types of Chinese equities, and the ""B"" denotes a specific share class.",Equities,Emerging Markets,"CMS Asset Management (HK) Co., Ltd",SHZ,XSHE
0P0000WDTT.SZ,CUAM RMB Bondplus Fund Class A,CNY,"CUAM RMB Bondplus Fund Class A is a fixed-income fund investing primarily in Renminbi (RMB) denominated bonds. CUAM refers to China Universal Asset Management, a Chinese asset management company. The fund's objective is to generate income and capital appreciation.",Fixed Income,Bonds,China Universal Asset Management (Hong Kong) Company Limited,SHZ,XSHE
0P000165SR.SZ,BOCOM International China Dynamic Fund I,CNY,BOCOM International China Dynamic Fund I is an equity fund focused on investing in Chinese companies with dynamic growth potential. The fund aims to achieve long-term capital appreciation through investments in a diversified portfolio of Chinese stocks. It is managed by BOCOM International Asset Management.,Equities,Equities,BOCOM International Asset Management,SHZ,XSHE
0P000165SS.SZ,BOCOM International China Dynamic Fund R,CNY,BOCOM International China Dynamic Fund R is an equity fund focused on investing in Chinese companies with dynamic growth potential. The fund aims to achieve long-term capital appreciation through investments in a diversified portfolio of Chinese stocks. It is managed by BOCOM International Asset Management.,Equities,Equities,BOCOM International Asset Management,SHZ,XSHE
0P0001688Z.SZ,CMS China Opportunities Flexifund I,CNY,"CMS China Opportunities Flexifund I is a fund focused on investment opportunities within the Chinese market, employing a flexible investment strategy. It aims to capitalize on the growth potential of various sectors within China, potentially utilizing a range of asset classes. The fund operates under the regulatory framework of the Shenzhen Stock Exchange.",Equities,Emerging Markets,"CMS Asset Management (HK) Co., Ltd",SHZ,XSHE
0P000169XU.SZ,SHBNPP RQFII Bond Master Bond-Fund of Funds,CNY,"SHBNPP RQFII Bond Master Bond-Fund of Funds is a bond fund of funds that utilizes the Renminbi Qualified Foreign Institutional Investor (RQFII) program. The fund invests in other bond funds, providing diversified exposure to the Chinese bond market for foreign investors. It is managed by a partnership between SHB and BNP Paribas.",Fixed Income,Bonds,Shinhan BNP Paribas Asset Mgmt Co Ltd,SHZ,XSHE
