symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
2NLA.HA,WI GLOB.CHALL.INDEX-FDS P,EUR,,,,,HAN,XHAN,
3HJ.HA,LIPPO MALLS IND.RET.TRUST,EUR,"Lippo Malls Indonesia Retail Trust is a real estate investment trust (REIT) focused on owning and operating retail malls in Indonesia. The trust aims to provide stable returns to investors through rental income and capital appreciation of its properties. The REIT's portfolio consists of a diversified range of shopping malls across various cities in Indonesia, catering to the country's growing middle class.",Real Estate,REITs,,HAN,XHAN,
3SP2.HA,STARCAP.-WINBONDS PL.A EO,EUR,STARCAP.-WINBONDS PL.A EO is a bond fund that aims to generate returns through investments in global bond markets. The fund focuses on identifying and investing in undervalued bonds to achieve capital appreciation and income. The investment strategy involves active portfolio management and macroeconomic analysis.,Alternatives,Corporate Bonds,3 Banken-Generali Investment-Gesellschaft,HAN,XHAN,
3SP8.HA,CONREN FORTUNE -ANTEIL. R,EUR,,,,,HAN,XHAN,
3SP9.HA,CONREN FORTUNE RA,EUR,,,,,HAN,XHAN,
3SPA.HA,CONREN-EQUITY RA,EUR,,,,,HAN,XHAN,
3SPB.HA,CONREN-FIXED INCOME RA,EUR,,,,,HAN,XHAN,
3SPC.HA,CONREN-EQUITY R EO,EUR,,,,,HAN,XHAN,
5BW1.HA,BW-EURO.EQUITY REOA,EUR,,,,,HAN,XHAN,
A6C.HA,ARA LOGOS LOGISTICS TRUST,EUR,ARA LOGOS LOGISTICS TRUST is a Singapore-based real estate investment trust (REIT) focused on logistics properties. The REIT invests in a diversified portfolio of logistics assets located in Singapore and Australia. ALLT aims to provide unitholders with stable distributions and long-term growth by strategically managing its portfolio of logistics properties.,Real Estate,REITs,Lion Global Investors,HAN,XHAN,
ABD1.HA,ASSCVI-EURO.EQU. AAEO,EUR,,,,,HAN,XHAN,
ABD2.HA,AS SCV I-APAC EQ. AADL,EUR,,,,,HAN,XHAN,
ABD3.HA,ASSCVI-SLT EU.HYB AMIEO,EUR,,,,,HAN,XHAN,
ABD6.HA,SSCVI-SLT EM BD AADL,EUR,,,,,HAN,XHAN,
ABD7.HA,ASSCVI-WRLD EQ. AADL,EUR,,Alternatives,Blend,Aberdeen Standard Investments,HAN,XHAN,
ABD8.HA,ASSCVI-AUS.EQU. AAAD,EUR,,Alternatives,Blend,Aberdeen Standard Investments,HAN,XHAN,
AEF2.HA,ASSCVI-INDIAN EQ. AADL,EUR,"ASSCVI-INDIAN EQ. AADL is a sub-fund of Aberdeen Standard SICAV I, focusing on Indian equity investments. The fund aims to generate returns through investments in companies located in India, utilizing a specific investment approach designated as ""AADL."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Emerging Markets,Aberdeen Standard Investments,HAN,XHAN,
AEF6.HA,ASSCVI-AL.CH.EQ.AADL,EUR,"ASSCVI-AL.CH.EQ.AADL is a sub-fund of Aberdeen Standard SICAV I, focusing on All China equity investments. The fund aims to generate returns through investments in companies located in China, utilizing a specific investment approach designated as ""AADL."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Emerging Markets,Aberdeen Standard Investments,HAN,XHAN,
AEF8.HA,AS SCV I -APAC EQ. SADL,EUR,"AS SCV I -APAC EQ. SADL is a sub-fund of Aberdeen Standard SICAV I, focusing on Asia Pacific (APAC) equity investments. It would aim to generate returns through investments in companies located in the Asia Pacific region, excluding Japan, with a specific investment strategy denoted by ""SADL."" Aberdeen Standard Investments is a global asset management company headquartered in Edinburgh, Scotland.",Financials,Emerging Markets,Aberdeen Standard Investments,HAN,XHAN,
AK8P.HA,AMUNDI TOTAL RETURN ADA,EUR,"This is an Amundi fund focused on a total return strategy with an ADA (likely a specific investment approach). It aims to achieve consistent returns across various market conditions. Amundi Asset Management, headquartered in Paris, France, manages the fund, using a diversified investment approach.",Alternatives,,Amundi Asset Management,HAN,XHAN,
AN0M.HA,M+G(L)I1-O.I. AEOA,EUR,,,,,HAN,XHAN,
AOX.HA,ALSTRIA OFFICE REIT-AG,EUR,"ALSTRIA OFFICE REIT-AG is a German Real Estate Investment Trust (REIT) focused on acquiring, developing, and managing office properties in major German cities. The company's business model involves leasing office space to tenants and generating rental income, while also seeking to increase property values through strategic investments and active management. Alstria is headquartered in Hamburg, Germany.",Real Estate,REITs,,HAN,XHAN,
AXK6.HA,AXA ROSEN.E.A.-PA.EQ.B(EO,EUR,,,,,HAN,XHAN,
AXKD.HA,AXA ROS.E.AL.-G.EQ.A.B DL,EUR,,,,,HAN,XHAN,
