symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AAXJ.MX,iShares MSCI All Country Asia ex Japan ETF,MXN,"The investment seeks to track the investment results of the MSCI AC Asia ex Japan Index.
 The fund will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index is a free float-adjusted market capitalization index designed to measure equity market performance of securities from the following 11 developed and emerging market countries or regions: China, Hong Kong, India, Indonesia, Malaysia, Pakistan, the Philippines, Singapore, South Korea, Taiwan and Thailand.",Financials,Emerging Markets,BlackRock Asset Management,MEX,XMEX,
ACWI.MX,iShares MSCI ACWI ETF,MXN,"The investment seeks to track the investment results of the MSCI ACWI composed of large- and mid-capitalization developed and emerging market equities.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization index designed to measure the combined equity market performance of developed and emerging markets countries.",Alternatives,Blend,BlackRock Asset Management,MEX,XMEX,
ACWV.MX,iShares MSCI Global Min Vol Factor ETF,MXN,"The investment seeks to track the investment results of the MSCI ACWI Minimum Volatility (USD) Index.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index measures the combined performance of equity securities in both developed and emerging markets that, in the aggregate, have lower volatility relative to the large- and mid-cap developed and emerging markets.",Alternatives,Blend,BlackRock Asset Management,MEX,XMEX,
ACWX.MX,iShares MSCI ACWI ex U.S. ETF,MXN,"The investment seeks to track the investment results of the MSCI ACWI ex USA Index composed of large- and mid-capitalization non-U.S. equities.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index designed to measure the combined equity market performance of developed and emerging markets countries, excluding the United States.",Alternatives,Blend,BlackRock Asset Management,MEX,XMEX,
AEMEN.MX,Amundi Index Solutions - Amundi Index MSCI Emerging Markets,MXN,"Amundi Index Solutions - Amundi Index MSCI Emerging Markets is an index fund aiming to replicate the performance of the MSCI Emerging Markets Index. The fund offers investors exposure to equities in emerging markets, providing diversification across various countries and sectors. Amundi, a French asset management company, manages the fund.",,Emerging Markets,Amundi Asset Management,MEX,XMEX,
AFLMXN.MX,AMUNDI LUXEMBOURG SA FLOATING R,MXN,AMUNDI LUXEMBOURG SA FLOATING R ,,,Amundi Asset Management,MEX,XMEX,
AFLTN.MX,Amundi Index Solutions - Amundi ETF Floating Rate USD Corporate,MXN,"Amundi Index Solutions - Amundi ETF Floating Rate USD Corporate aims to track the performance of an index composed of USD-denominated, investment-grade, floating-rate corporate bonds. The fund provides investors with exposure to corporate debt that adjusts its interest rate based on a benchmark rate, such as LIBOR. Amundi, a French asset manager, manages the fund.",Fixed Income,Corporate Bonds,Amundi Asset Management,MEX,XMEX,
AGEDN.MX,ISHARES IV PLC AGEING POPULATON,MXN,ISHARES IV PLC AGEING POPULATON ,,Developed Markets,,MEX,XMEX,
AGG.MX,iShares Core U.S. Aggregate Bond ETF,MXN,"The investment seeks to track the investment results of the Bloomberg Barclays U.S. Aggregate Bond Index.
 The index measures the performance of the total U.S. investment-grade bond market. The fund generally invests at least 90% of its net assets in component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the economic characteristics of the component securities of its underlying index.",Fixed Income,Investment Grade Bonds,BlackRock Asset Management,MEX,XMEX,
AGGUN.MX,iShares III Public Limited Company - iShares Global Aggregate Bond UCITS ETF,MXN,"iShares III Public Limited Company - iShares Global Aggregate Bond UCITS ETF aims to replicate the performance of the Bloomberg Global Aggregate Bond Index, offering diversified exposure to global investment-grade bonds. The fund provides access to a broad range of government, corporate, and securitized bonds in a single investment vehicle. BlackRock, a global asset manager, manages the fund.",Fixed Income,Investment Grade Bonds,,MEX,XMEX,
