symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AAP2.PA,LS 2X APPLE,EUR,,Derivatives,,,PAR,XPAR,
AAP3.PA,LS 3X APPLE,EUR,,Derivatives,,,PAR,XPAR,
AASI.PA,Amundi Index Solutions - Amundi MSCI Em Asia UCITS ETF-C EUR,EUR,"To track the performance of MSCI Emerging Markets Asia Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Financials,Emerging Markets,Amundi Asset Management,PAR,XPAR,LU1681044480
AASU.PA,Amundi Index Solutions - Amundi MSCI Em Asia UCITS ETF-C USD,USD,"To track the performance of MSCI Emerging Markets Asia Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Financials,Emerging Markets,Amundi Asset Management,PAR,XPAR,LU1681044480
ACWE.PA,SPDR MSCI ACWI UCITS ETF,EUR,"The objective of the SPDR MSCI ACWI ETF (the ""Fund"") is to track the equity market performance of developed and emerging markets. The investment policy of the Fund is to track the performance of the MSCI ACWI (All Country World Index) Index (or any other index determined by the Directors from time to time to track substantially the same market as the MSCI ACWI (All Country World Index) Index and which is considered by the Directors to be an appropriate index for the Fund to track, in accordance with the Prospectus) (the ""Index"") as closely as possible, while seeking to minimize as far as possible the tracking error between the Fundâs performance and that of the Index.",Alternatives,Blend,State Street Global Advisors,PAR,XPAR,IE00BF1B7389
ACWI.PA,Lyxor MSCI All Country World UCITS ETF Acc,EUR,The objective of the Sub-Fund is to track both the upward and the downward evolution of the Index.,Alternatives,Blend,Lyxor International Asset Management,PAR,XPAR,LU1829220216
AEEM.PA,Amundi Index Solutions - Amundi MSCI Emerging Markets UCITS ETF-C EUR,EUR,"To track the performance of MSCI Emerging Markets Index (the ""Index""), and to minimize the tracking error between the net asset value of the sub-fund and the performance of the Index.",Financials,Emerging Markets,Amundi Asset Management,PAR,XPAR,LU1681045370
AEJ.PA,Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF - Acc-EUR,EUR,"The investment objective of the MULTI UNITS LUXEMBOURG â Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF (the ""Sub-Fund"") is to track both the upward and the downward evolution of the MSCI AC Asia Pacific-ex Japan Net Total Return index (the ""Index"") denominated in US Dollars and representative of the overall performance of large-cap and mid-cap stocks across main Asian Pacific excluding Japan, while minimizing the volatility of the difference between the return of the Sub-Fund and the return of the Index (the ""Tracking Error"").",,Emerging Markets,Lyxor International Asset Management,PAR,XPAR,LU1900068328
AEME.PA,Amundi Index Solutions - Amundi Index MSCI Emerging Markets UCITS ETF DR,EUR,"The objective of this Sub-fund is to replicate the MSCI Emerging markets Index composition while slightly outperforming the index and maintaining a very low tracking error.
The Sub-fund aims to achieve a level of tracking error whereby the annual variability of the difference in returns between the performance of the sub-fund and its index will not normally exceed 2%. On a daily basis, the manager
aims to maintain the tracking error under 0.50%.",,Emerging Markets,Amundi Asset Management,PAR,XPAR,LU1437017350
AEXK.PA,Amundi Index Solutions - Amundi MSCI Europe Ex UK UCITS ETF DR - EUR (C),EUR,"To track the performance of MSCI Europe ex UK Index, and to minimize
the tracking error between the net asset value of the sub-fund and the
performance of the Index.",,Developed Markets,Amundi Asset Management,PAR,XPAR,LU1681043326
AFIN.PA,Amundi Index Solutions - Amundi EURO Corporate Financials IBOXX UCITS ETF-C,EUR,"To track the performance of Markit iBoxx Euro Liquid Corporates Top 75
Mid Price TCA Financials Index, and to minimize the tracking error between
the net asset value of the sub-fund and the performance of the Index.",Fixed Income,Corporate Bonds,Amundi Asset Management,PAR,XPAR,LU1681040066
AFLE.PA,Amundi Index Solutions - Amundi Floating Rate USD Corporate UCITS ETF-C EUR Hedged,EUR,"To track the performance of Markit iBoxx USD Liquid FRN Investment
Grade Corporates 100 Index, and to minimize the tracking error between
the net asset value of the sub-fund and the performance of the Index.",Fixed Income,Corporate Bonds,Amundi Asset Management,PAR,XPAR,LU1681041031
AFLT.PA,Amundi Index Solutions - Amundi Floating Rate USD Corporate UCITS ETF-C USD,USD,"To track the performance of Markit iBoxx USD Liquid FRN Investment
Grade Corporates 100 Index, and to minimize the tracking error between
the net asset value of the sub-fund and the performance of the Index.",Fixed Income,Corporate Bonds,Amundi Asset Management,PAR,XPAR,LU1681041031
AFRHG.PA,Amundi Index Solutions - Amundi Floating Rate EURO Corporate 1-3 UCITS ETF-C GBP Hedged,GBP,"To track the performance of Markit iBoxx EUR FRN IG 1-3 Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Fixed Income,Corporate Bonds,Amundi Asset Management,PAR,XPAR,LU1681041114
AFRHU.PA,Amundi Index Solutions - Amundi Floating Rate EURO Corporate 1-3 UCITS ETF-C USD Hedged,USD,"To track the performance of Markit iBoxx EUR FRN IG 1-3 Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Fixed Income,Corporate Bonds,Amundi Asset Management,PAR,XPAR,LU1681041114
AFRN.PA,Amundi Index Solutions - Amundi Floating Rate EURO Corporate 1-3 UCITS ETF-C,EUR,"To track the performance of Markit iBoxx EUR FRN IG 1-3 Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Fixed Income,Corporate Bonds,Amundi Asset Management,PAR,XPAR,LU1681041114
AFS.PA,Lyxor MSCI South Africa UCITS ETF Acc,EUR,"The investment objective of the MULTI
UNITS LUXEMBOURG - Lyxor MSCI
South Africa UCITS ETF (the âSub-Fundâ)
is to track both the upward and the
downward evolution of the MSCI South
Africa Net Total Return index (the âIndexâ)
denominated in US Dollars and
representative of the South African equity
market, while minimizing the volatility of the
difference between the return of the
Sub-Fund and the return of the Index (the
âTracking Errorâ).",,Emerging Markets,Lyxor International Asset Management,PAR,XPAR,LU1900067270
AGEB.PA,Amundi Index Solutions - Amundi Global Emerging Bond Markit IBOXX UCITS ETF-C,USD,"To track the performance of Markit iBoxx USD Liquid Emerging Markets
Sovereigns Index, and to minimize the tracking error between the net
asset value of the sub-fund and the performance of the Index.",Fixed Income,Emerging Markets,Amundi Asset Management,PAR,XPAR,LU1681041205
AHYE.PA,Amundi Index Solutions - Amundi EURO High Yield Liquid Bond IBOXX UCITS ETF-C,EUR,"To track the performance of Markit iBoxx EUR Liquid High Yield 30
Ex-Financial Index, and to minimize the tracking error between the net
asset value of the sub-fund and the performance of the Index.",Fixed Income,High Yield Bonds,Amundi Asset Management,PAR,XPAR,LU1681040496
ALAT.PA,Amundi Index Solutions - Amundi MSCI Em Latin America UCITS ETF-C EUR,EUR,"To track the performance of MSCI Emerging Markets Latam Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Financials,Emerging Markets,Amundi Asset Management,PAR,XPAR,LU1681045024
ALAU.PA,Amundi Index Solutions - Amundi MSCI Em Latin America UCITS ETF-C USD,USD,"To track the performance of MSCI Emerging Markets Latam Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Financials,Emerging Markets,Amundi Asset Management,PAR,XPAR,LU1681045024
AM3A.PA,Amundi Index Solutions - Amundi Govt Bond Highest Rated Euromts Investment Grade Ucits ETF EUR C,EUR,"To track the performance of FTSE MTS Highest-Rated Eurozone
Government Bond Index, and to minimize the tracking error between the
net asset value of the sub-fund and the performance of the Index.",,Government Bonds,Amundi Asset Management,PAR,XPAR,LU1681046691
AMD2.PA,LS 2X AMD,EUR,,,,Leverage Shares,PAR,XPAR,
AMDS.PA,LS -1X AMD,EUR,,,,Leverage Shares,PAR,XPAR,
AMZ2.PA,LS 2X AMAZON,EUR,,,,Leverage Shares,PAR,XPAR,
AMZ3.PA,LS 3X AMAZON,EUR,,,,Leverage Shares,PAR,XPAR,
AMZS.PA,LS -1X AMAZON,EUR,,,,Leverage Shares,PAR,XPAR,
ANRJ.PA,Amundi ETF MSCI Europe Energy UCITS ETF,EUR,"The investment seeks to track the price and yield performance, before fees and expense, of the MSCI Europe Energy EUR index.
 The fund enables investors to benefit from an exposure to around 20 European stocks in the energy sector, with a single transaction.",Energy,,Amundi Asset Management,PAR,XPAR,FR0010930644
ANX.PA,Amundi Index Solutions - Amundi Nasdaq-100 ETF-C EUR,EUR,"To track the performance of NASDAQ-100 Index, and to minimize the
tracking error between the net asset value of the sub-fund and the
performance of the Index.",Information Technology,,Amundi Asset Management,PAR,XPAR,LU1681038599
ANXU.PA,Amundi Index Solutions - Amundi Nasdaq-100 ETF-C USD,USD,"To track the performance of NASDAQ-100 Index, and to minimize the
tracking error between the net asset value of the sub-fund and the
performance of the Index.",Information Technology,,Amundi Asset Management,PAR,XPAR,LU1681038599
APLS.PA,LS -1X APPLE,EUR,LS -1X APPLE is a leveraged short exchange-traded fund (ETF) that seeks to provide -1x the daily performance of Apple stock. It is designed for short-term trading strategies and is not suitable for long-term holding due to the effects of compounding. This fund is listed on the Paris Stock Exchange (PA).,Derivatives,,,PAR,XPAR,
APX.PA,Lyxor MSCI AC Asia Ex Japan UCITS ETF - Acc-EUR,EUR,"The investment objective of the MULTI UNITS LUXEMBOURG â Lyxor MSCI AC Asia Ex Japan UCITS ETF (the ""Sub-Fund"") is to track both the upward and the downward evolution of the MSCI AC Asia Ex Japan Net Total ReturnTM index (the ""Index"") denominated in US Dollars and representative of the performance of mid-cap and large-cap stocks of Asian countries excluding Japan, while minimizing the volatility of the difference between the return of the Sub-Fund and the return of the Index (the ""Tracking Error"").",,,Lyxor International Asset Management,PAR,XPAR,LU1900068161
ASI.PA,Lyxor China Enterprise (HSCEI) UCITS ETF - Acc-EUR,EUR,"The investment objective of the MULTI UNITS LUXEMBOURG â Lyxor China Enterprise (HSCEI) UCITS ETF (the ""Sub-Fund"") is to track both the upward and the downward evolution of the Hang Seng China Enterprises Index Net Total Return index (the ""Index"") denominated in Hong Kong dollars (HKD), and representative of the major Chinese equities known as ""H-shares, while minimizing the volatility of the difference between the return of the Sub-Fund and the return of the Index (the ""Tracking Error"").",Equities,,Lyxor International Asset Management,PAR,XPAR,LU1900068914
AU2.PA,Lyxor Australia (S&P/ASX 200) UCITS ETF - D-EUR,EUR,"The Sub-Fund is an index-tracking UCITS passively managed. The Reference Currency of the Sub-Fund is the Euro (EUR). The investment objective of sub-fund is to track both the upward and the downward evolution of the S&P/ASX 200 Net Total Return Index denominated in Australian dollars (AUD) (the ""Index"") - while minimising the volatility of the difference between the return of the Sub-Fund and the return of the Index (the âTracking Errorâ). For daily hedged share classes mentioned in APPENDIX C - SUMMARY OF SHARES AND FEES, the Sub-Fund will also use a daily currency-hedge strategy, in order to minimize the impact of the evolution of each respective share class currency against currencies of each Index component. The anticipated level of the tracking error under normal market conditions is expected to be up to 0.50%.",Real Estate,,Lyxor International Asset Management,PAR,XPAR,LU0496786905
AUEM.PA,Amundi Index Solutions - Amundi MSCI Emerging Markets UCITS ETF-C USD,USD,"To track the performance of MSCI Emerging Markets Index (the ""Index""), and to minimize the tracking error between the net asset value of the sub-fund and the performance of the Index.",Real Estate,Emerging Markets,Amundi Asset Management,PAR,XPAR,LU1681045370
