symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
ACIO,Aptus Collared Income Opportunity ETF,USD,"The investment seeks current income and capital appreciation.
 The fund is an actively-managed exchange-traded fund (âETFâ) that seeks to achieve its investment objective principally by investing in a portfolio of U.S.-listed equity securities of any market capitalization and buying put options or an options collar on the same underlying equity securities or on an index tracking a portfolio of large capitalization U.S. equity securities. It may write call options on up to 100% of each equity position held in the portfolio and will use a portion of the premium received from writing such call options to purchase put options. The fund is non-diversified.",Financials,,Aptus Capital Advisors,BTS,BATS,US26922A2226
ACSI,American Customer Satisfaction ETF,USD,"The investment seeks to track the performance of the American Customer Satisfaction Investable Index.
 Under normal circumstances, at least 80% of the fund&#39;s net assets, plus borrowings for investment purposes, will be invested in investments that are tied economically to the United States. Construction of the index begins with over 400 ACSI Companies across 46 industries and 10 economic sectors. The initial universe is then screened to eliminate companies whose stock is not principally listed on a U.S. exchange, whose market capitalization is less than $1 billion, or for which the Customer Satisfaction Data is statistically insignificant.",Consumer Discretionary,Blend,Exponential ETFs,BTS,BATS,US8863647108
ACWV,iShares MSCI Global Min Vol Factor ETF,USD,"The investment seeks to track the investment results of the MSCI ACWI Minimum Volatility (USD) Index.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index measures the combined performance of equity securities in both developed and emerging markets that, in the aggregate, have lower volatility relative to the large- and mid-cap developed and emerging markets.",Alternatives,Blend,BlackRock Asset Management,BTS,BATS,US4642865251
ADFI,Anfield Dynamic Fixed Income ETF,USD,"The investment seeks to provide total return with capital preservation as a secondary objective.
 The fund is an actively managed ETF that is a ""fund of funds,"" meaning that it primarily invests its assets in securities of other ETFs. It normally invests at least 80% of its net assets, including any borrowings for investment purposes, in other unaffiliated ETFs that invest in any facet of the global debt markets, including corporate bonds, U.S. government and agency securities, private debt, foreign sovereign bonds, convertible securities, bank loans, asset-backed securities, mortgage-backed securities, and cash equivalent instruments.",Fixed Income,Corporate Bonds,Anfield,BTS,BATS,US90214Q7253
ADME,Aptus Drawdown Managed Equity ETF,USD,"The investment seeks capital appreciation with downside protection.
 The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve its objective principally by investing in a portfolio of U.S.-listed equity securities, while limiting downside risk by purchasing exchange-listed put options on one or more of such equity securities or on broad-based indexes or ETFs that track the performance of the U.S. equity market. Under normal circumstances, at least 80% of the fund&#39;s net assets (plus borrowings for investment purposes) will be invested in equity securities.",Financials,Blend,Aptus Capital Advisors,BTS,BATS,US26922A7845
AESR,Anfield U.S. Equity Sector Rotation ETF,USD,"The investment seeks to outperform traditional large-cap equity indices and styles over full market cycles by investing in various sectors of the equity market.
 The fund is an actively managed exchange traded fund that normally invests at least 80% of its net assets, including any borrowings for investment purposes, in a diversified portfolio of ETFs that each invest at least 80% of their assets in U.S. equity securities. It may also invest in various types of derivatives, including exchange listed and over the counter futures, options, total return swaps, forwards and repurchase agreements.",Equities,Large Cap,Anfield,BTS,BATS,US90214Q7337
AFIF,Anfield Universal Fixed Income ETF,USD,"The investment seeks current income.
 The fund is an actively managed exchange traded fund (""ETF"") that normally invests at least 80% of its net assets, including any borrowings for investment purposes, in a diversified portfolio of fixed income instruments. The principal investments of the fund include corporate bonds, U.S. government and agency securities, master-limited partners (""MLPs"") (tied to energy-related commodities), private debt, foreign sovereign bonds, convertible securities, bank loans, asset-backed securities, mortgage-backed securities, and cash equivalent instruments.",Fixed Income,Corporate Bonds,Affinity,BTS,BATS,US90214Q7667
AGT,iShares MSCI Argentina and Global Exposure ETF,USD,"The investment seeks to track the investment results of the MSCI All Argentina 25/50 Index (the ""underlying index"").
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the broad Argentina equity universe, while including a minimum number of constituents, as defined by MSCI, Inc. (the ""index provider"" or ""MSCI""). The fund is non-diversified.",Information Technology,Emerging Markets,BlackRock Asset Management,BTS,BATS,
ALFA,AlphaClone Alternative Alpha ETF,USD,"The investment seeks to track the price and yield, before fees and expenses, of the AlphaClone Hedge Fund Masters Index.
 The fund uses a ""passive management"" approach to track the performance, before fees and expenses, of the index. The index utilizes a proprietary, quantitative Clone Score methodology developed by the fund&#39;s index provider, to replicate the five most heavily weighted U.S. equity securities from each of the ten hedge funds and institutional investors with the highest Clone Scores. At least 80% of the fund&#39;s total assets (exclusive of any collateral held from securities lending) will be invested in the component securities of the index.",Alternatives,,AlphaClone,BTS,BATS,
AMER,Emles Made in America ETF,USD,"The investment seeks investment results that correspond, before fees and expenses, to the price and yield performance of the Emles American Manufacturing Index.
 The fund seeks to replicate the index and will generally invest at least 80% of its net assets in the component securities of the index, holding each stock in approximately the same proportion as its weighting in the index. The index is designed to provide exposure to U.S. dollar-denominated equities publicly-listed by U.S. companies (and their subsidiaries) headquartered in the U.S. and focused on the production of goods within North America. It is non-diversified.",,,Emles,BTS,BATS,
APRZ,TrueShares Structured Outcome (April) ETF,USD,"The investment seeks to provide investors with returns that track those of the S&P 500 Price Return Index while seeking to provide a buffer against the first 8% to 12% of S&P 500 Price Index losses, over the period from April 1, 2021 to March 31, 2022.
 The fund is an actively-managed exchange-traded fund that seeks to achieve its investment objective by investing substantially all of its assets in options that reference the index. It will purchase call options and sell put options on the index or an ETF that tracks the index on each Initial Investment Day with an expiration on the next Roll Date. The fund is non-diversified.",Financials,,TrueShares,BTS,BATS,US2103228555
ARCM,Arrow Reserve Capital Management ETF,USD,"The investment seeks to preserve capital while maximizing current income.
 The fund invests in a variety of domestic fixed income securities. It will invest in fixed income instruments with a dollar-weighted average effective maturity of 0 to 2 years issued by U.S. Dollar-denominated issuers, including mortgage- or asset-backed securities, rated Baa- or higher by Moody&#39;s, or equivalently rated by S&P or Fitch, or, if unrated, determined by the Sub-Advisor. It may also invest in interest rate futures and forwards. The Sub-Advisor attempts to maximize income by identifying securities that offer an acceptable yield for a given level of credit risk and maturity.",Fixed Income,Bonds,ArrowShares,BTS,BATS,US0427657194
ARKG,ARK Genomic Revolution ETF,USD,"The investment seeks long-term growth of capital.
 The fund is an actively-managed exchange-traded fund (""ETF"") that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of companies across multiple sectors, including healthcare, information technology, materials, energy and consumer discretionary, that are relevant to the fund&#39;s investment theme of the genomics revolution (""Genomics Revolution Companies""). It is non-diversified.",Health Care,Health Care,ARK ETF Trust,BTS,BATS,US00214Q3020
ARKQ,ARK Autonomous Technology & Robotics ETF,USD,"The investment seeks long-term growth of capital.
 The fund is an actively-managed exchange-traded fund that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of autonomous technology and robotics companies that are relevant to the fund&#39;s investment theme of disruptive innovation. Substantially all of the fund&#39;s assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. The fund is non-diversified.",Industrials,Technology,ARK ETF Trust,BTS,BATS,US00214Q2030
ARKX,ARK Space Exploration & Innovation ETF,USD,"The investment seeks long-term growth of capital.
 The fund is an actively-managed exchange-traded fund (""ETF"") that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of companies that are engaged in its investment theme of Space Exploration and Innovation. Under normal circumstances, substantially all of the fund&#39;s assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. It is non-diversified.",Industrials,,ARK ETF Trust,BTS,BATS,US00214Q8078
ATMP,Barclays ETN+ Select MLP ETN,USD,"The investment seeks to replicate, net of expenses, the Atlantic Trust Select MLP Index.
 The index seeks to capture returns that may be available from investing in a basket of direct or indirect interests in master limited partnerships (âMLPsâ), limited liability companies (âLLCsâ) and corporations (collectively, âMLP Interestsâ) that are selected pursuant to the Atlantic Trust Select MLP Strategy.",Energy,Energy,Barclays,BTS,BATS,
AUGZ,TrueShares Structured Outcome (August) ETF,USD,"The investment seeks to provide investors with returns (before fees and expenses) that track those of the S&P 500 Price Return Index while seeking to provide a buffer against the first 8% to 12% of S&P 500 Price Index losses, over the period from August 1, 2020 to July 31, 2021.
 The fund is an actively-managed ETF that seeks to achieve its investment objective by investing substantially all of its assets in options that reference the S&P 500 Price Index. It will purchase call options and sell put options on the index or an ETF that tracks the index on each Initial Investment Day with an expiration on the next Roll Date. The fund is non-diversified.",Real Estate,,TrueShares,BTS,BATS,US2103228142
AVDG,AVDR US LargeCap ESG ETF,USD,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the performance of the New Age Alpha U.S. Large-Cap ESG IndexSM.
 The index consists of common stock of companies and units of beneficial ownership in REITs. The fund will generally invest substantially all, but at least 80% of its net assets in component securities of the index. It may invest in cash and cash equivalents, including shares of money market mutual funds or ETFs, short-term funds, commercial paper, certificates of deposit, bankers&#39; acceptances, U.S. government securities and repurchase agreements. The fund is non-diversified.",Real Estate,,Avantis Investors,BTS,BATS,
AVDR,AVDR US LargeCap Leading ETF,USD,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the performance of the New Age Alpha U.S. Large-Cap Leading 50 IndexSM.
 The index consists of common stock of companies and units of beneficial ownership in REITs. Under normal market conditions, the fund will generally invest substantially all, but at least 80%, of its net assets in component securities of the index. It may invest in cash and cash equivalents, including shares of money market mutual funds or ETFs, short-term funds, commercial paper, certificates of deposit, bankers&#39; acceptances, U.S. government securities and repurchase agreements.",Real Estate,,Avantis Investors,BTS,BATS,
