symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
LYXGREENBOND.ST,Multi Units Luxembourg - Lyxor Green Bond (DR) UCITS ETF,SEK,The Lyxor Green Bond (DR) UCITS ETF is an exchange-traded fund. It seeks to track an index composed of green bonds. These bonds finance projects with environmental benefits.,Fixed Income,Corporate Bonds,Lyxor International Asset Management,STO,XSTO,
LYXPAB.ST,Multi Units Luxembourg - Lyxor S&P Global Developed Paris-Aligned Climate (Eu Pab) (Dr) Ucits Etf,SEK,The Lyxor S&P Global Developed Paris-Aligned Climate (Eu Pab) (Dr) Ucits Etf is an exchange-traded fund. The ETF aims to track the S&P Global Developed PACT Paris-Aligned Climate index. It invests in companies from developed countries that are aligned with the Paris Agreement's climate goals.,Equities,Developed Markets,Lyxor International Asset Management,STO,XSTO,
XACT-BEAR-2.ST,XACT Bear 2,SEK,"XACT Bear 2 is an exchange traded fund based in Sweden that seeks to provide a return that corresponds to two times the inverse of the daily performance of the OMXS30 index. The fund uses leverage to magnify the inverse return, aiming to deliver twice the opposite performance of the specified Swedish stock market index on a daily basis. It's designed for short-term trading and not for long-term investment.",Derivatives,,,STO,XSTO,
XACT-BEAR.ST,XACT Bear ETF,SEK,"The fund is a leveraged non-UCITS exchange-traded fund that differs from a securities fund in that it has so-called leveraging. The objective of the fund is to provide a daily return equivalent to approximately 150% of the daily opposite change in the OMXS30√¢¬Ñ¬¢ Index before management fees and other transaction costs. This means that when the OMXS30√¢¬Ñ¬¢ falls by 1% on the market in one day, XACT Bear should rise by approximately 1.5%. The index consists of the 30 most-traded shares on the Nasdaq OMX Nordic Exchange Stockholm (Stockholm stock exchange). The fund&#39;s capital consists of liquid assets and sold futures contracts (OMXS30√¢¬Ñ¬¢ futures) equivalent to approximately 150% of the fund&#39;s value. A daily rebalancing of the fund&#39;s futures holdings occurs to ensure that the fund maintains an exposure of -150% of the fund capital.",Derivatives,,Handelsbanken Fonder,STO,XSTO,SE0005466513
XACT-BULL-2.ST,XACT Bull 2,SEK,"XACT Bull 2 is an exchange traded fund based in Sweden that seeks to provide a return that corresponds to two times the daily performance of the OMXS30 index. The fund uses leverage to magnify the return, aiming to deliver twice the performance of the specified Swedish stock market index on a daily basis. It is designed for short-term trading and not for long-term investment.",Derivatives,,,STO,XSTO,
XACT-BULL.ST,XACT Bull,SEK,"XACT Bull is an exchange-traded fund based in Sweden that seeks to provide a return that corresponds to the daily performance of the OMXS30 index with leverage. The fund uses leverage to magnify the return, aiming to deliver a multiple of the performance of the specified Swedish stock market index on a daily basis. It's designed for short-term trading and not for long-term investment.",Derivatives,,,STO,XSTO,
XACT-NORDEN.ST,XACT NORDEN,SEK,"XACT Norden is an exchange-traded fund based in Sweden that invests in companies across the Nordic region (Denmark, Finland, Norway, and Sweden). The fund seeks to track the performance of a broad index of Nordic stocks, providing investors with diversified exposure to the region's economy. It offers a way to invest in the Nordic market through a single investment vehicle.",Industrials,,,STO,XSTO,SE0001710914
XACT-OMXS30.ST,XACT OMXS30,SEK,"XACT OMXS30 is an exchange-traded fund based in Sweden that seeks to replicate the performance of the OMXS30 index, which comprises the 30 most traded stocks on the Stockholm Stock Exchange. The fund aims to provide investors with a return that closely mirrors the index, allowing for diversified exposure to the largest companies in the Swedish market. It offers a cost-effective way to invest in the Swedish stock market.",Industrials,,,STO,XSTO,
XACT-SMABOLAG.ST,XACT Svenska Sm&#195&#165bolag,SEK,"XACT Svenska Småbolag is an exchange-traded fund based in Sweden that invests in Swedish small-cap companies. The fund seeks to track the performance of an index representing smaller companies listed on the Swedish stock exchange, providing investors with exposure to this segment of the market. It offers a diversified approach to investing in Swedish small-cap stocks.",Industrials,Small Cap,,STO,XSTO,
XACT-SVERIGE.ST,XACT Sverige (UCITS ETF),SEK,"XACT Sverige is an exchange-traded fund (UCITS ETF) based in Sweden designed to track the performance of the Swedish stock market. The fund aims to mirror the returns of a broad Swedish market index, providing investors with diversified exposure to the overall Swedish economy. It offers a cost-effective and convenient way to invest in the Swedish stock market.",Industrials,,,STO,XSTO,SE0001056045
XACTHDIV.ST,XACT Nordic High Dividend Low Volatility ETF,SEK,"The fund is an exchange-traded index fund and its objective is to follow the performance of the Handelsbanken Nordic High Dividend Low Volatility Criteria Index (SEK) to attain a return that corresponds as closely as possible to the performance of this index. Handelsbanken Nordic High Dividend Low Volatility Criteria Index (SEK) consists of equities in Nordic companies, excluding those companies that do not meet the sustainability requirements of the index, that are selected based on specific fundamental characteristics as well as the equity√¢¬Ä¬ôs risk and liquidity. (refer to the heading Sustainability requirements in the index for information regarding the sustainability requirements). The composition of the index is constructed to select those companies with the highest dividend yield and the lowest historical volatility. An individual company√¢¬Ä¬ôs weighting in the index is set in proportion to a mix of these parameters and the company√¢¬Ä¬ôs liquidity.",Financials,,Handelsbanken Fonder,STO,XSTO,SE0009778954
